Age,Game_Played,PA,At_Bat,Run,Hit,Double,Homerun,RBI,SO,BB,BA
27,133,534,489,73,139,21,34,106,85,30,0.284
37,153,648,555,103,169,27,44,121,146,63,0.305
33,109,401,366,50,94,21,9,37,37,29,0.257
34,96,424,347,64,97,18,0,27,53,59,0.28
26,160,707,601,123,188,29,34,107,93,96,0.313
27,129,491,427,69,117,29,18,70,66,56,0.274
21,159,631,582,89,158,33,31,90,129,40,0.271
27,130,469,414,54,101,27,13,46,112,49,0.244
26,105,317,289,32,61,14,5,22,68,24,0.211
34,83,295,264,35,73,15,1,22,25,24,0.277
31,129,289,266,46,81,19,10,44,48,17,0.305
26,86,342,313,39,80,15,8,45,44,17,0.256
28,153,624,565,77,150,36,20,104,125,49,0.265
28,142,580,518,52,129,21,9,54,111,48,0.249
24,142,546,494,45,121,25,5,41,87,33,0.245
23,160,711,601,120,174,45,31,110,141,93,0.29
30,125,520,483,65,142,22,8,48,27,29,0.294
27,158,735,678,106,189,28,8,49,89,42,0.279
24,151,589,497,68,155,29,17,74,133,84,0.312
28,112,261,250,23,69,13,2,27,30,8,0.276
27,104,205,169,27,53,7,3,20,32,25,0.314
23,47,182,165,16,31,6,8,20,49,13,0.188
29,109,446,394,67,137,33,23,76,53,47,0.348
29,160,665,557,91,197,36,22,93,73,96,0.354
29,147,551,511,46,136,27,7,53,55,24,0.266
27,153,548,505,46,124,20,1,42,60,23,0.246
24,144,630,557,94,155,28,17,78,77,65,0.278
31,82,305,264,33,60,15,4,28,66,32,0.227
30,159,645,552,79,146,36,21,79,90,80,0.264
26,113,402,369,43,93,18,13,59,66,26,0.252
27,117,295,266,37,67,13,2,22,60,20,0.252
39,52,229,188,25,42,11,3,14,44,38,0.223
33,75,184,168,18,39,7,6,17,12,9,0.232
27,106,338,298,19,56,12,5,29,52,35,0.188
22,141,513,454,62,106,29,17,74,120,47,0.233
27,107,400,335,43,84,19,4,40,47,51,0.251
21,133,580,517,79,146,18,3,31,78,48,0.282
32,66,270,234,37,68,12,6,39,34,31,0.291
25,153,641,588,85,166,45,22,90,112,47,0.282
23,116,462,434,53,109,27,5,28,113,21,0.251
22,154,623,578,72,161,25,11,68,61,34,0.279
26,111,284,260,26,65,15,5,31,73,20,0.25
27,81,215,182,18,57,11,2,21,46,26,0.313
35,104,208,171,19,43,8,1,10,23,30,0.251
25,48,195,175,23,46,8,6,17,24,14,0.263
27,125,448,417,36,97,18,15,53,85,29,0.233
23,140,547,505,58,138,44,13,73,70,39,0.273
23,52,236,222,29,63,10,2,20,30,10,0.284
28,105,435,396,51,109,15,8,41,50,21,0.275
26,150,559,492,48,117,30,25,69,137,58,0.238
30,122,463,383,53,82,18,4,23,72,44,0.214
26,97,397,357,54,107,21,17,58,57,30,0.3
23,159,677,623,108,202,37,38,109,95,42,0.324
23,79,285,261,44,73,16,3,22,27,18,0.28
27,60,248,212,30,46,7,1,15,46,21,0.217
23,83,245,205,24,45,12,0,18,33,27,0.22
26,130,244,210,17,39,9,1,10,55,32,0.186
29,85,192,180,13,43,8,5,15,24,11,0.239
27,108,341,320,24,76,13,6,27,63,11,0.238
32,73,273,216,29,45,6,7,38,66,49,0.208
29,159,722,637,101,198,39,7,45,46,54,0.311
28,151,497,428,65,96,24,16,49,105,63,0.224
28,156,694,604,97,194,31,14,68,88,79,0.321
23,84,285,262,33,60,12,9,28,61,20,0.229
31,142,572,542,57,147,28,10,60,78,24,0.271
29,161,691,609,92,160,28,38,125,158,70,0.263
26,140,491,434,55,137,29,6,54,47,42,0.316
28,102,347,309,39,83,14,12,56,48,33,0.269
27,85,237,218,28,50,7,9,29,54,16,0.229
34,114,214,204,20,49,13,4,20,37,9,0.24
25,93,209,186,15,44,7,3,25,29,19,0.237
24,83,284,254,28,62,18,4,20,42,28,0.244
34,155,681,509,130,152,21,70,147,155,162,0.299
29,117,484,420,74,122,21,7,44,61,56,0.29
28,90,402,355,59,83,19,4,29,51,40,0.234
39,91,345,306,39,81,23,11,43,39,31,0.265
33,121,438,383,60,92,17,26,67,92,51,0.24
31,154,626,533,94,156,37,31,105,151,86,0.293
31,150,617,564,100,178,34,25,91,66,40,0.316
27,142,413,377,41,94,22,9,46,76,30,0.249
39,120,286,269,27,68,10,3,34,49,14,0.253
34,93,248,216,25,50,12,6,28,32,24,0.231
23,55,229,202,28,58,16,8,26,57,24,0.287
29,130,491,431,61,120,27,11,72,93,52,0.278
23,96,351,302,44,82,21,7,52,45,43,0.272
29,157,648,583,76,155,38,24,95,104,48,0.266
34,145,626,538,93,166,34,17,72,69,79,0.309
26,111,417,356,57,96,18,14,49,80,56,0.27
24,144,590,536,81,166,48,14,83,94,47,0.31
30,135,545,481,83,129,18,14,59,137,51,0.268
26,74,213,174,29,36,9,7,20,38,34,0.207
25,123,389,347,52,88,10,6,27,36,32,0.254
25,58,206,181,24,51,13,2,28,36,15,0.282
28,84,198,172,20,41,4,4,30,45,21,0.238
31,113,360,325,35,72,15,7,36,51,26,0.222
34,158,698,595,92,184,39,17,89,56,93,0.309
32,154,669,582,93,172,20,8,53,84,72,0.296
32,119,435,361,49,79,11,4,26,93,60,0.219
28,149,533,488,76,124,23,23,75,140,40,0.254
30,128,473,415,56,104,21,31,85,113,54,0.251
34,85,332,304,51,85,8,2,21,22,26,0.28
29,159,722,643,134,198,20,66,158,171,73,0.308
27,124,380,347,56,101,17,14,48,95,30,0.291
27,108,289,264,34,60,10,5,25,66,18,0.227
27,95,271,255,26,65,7,9,33,53,13,0.255
25,64,230,204,24,37,14,2,21,35,18,0.181
24,149,627,535,95,175,36,12,75,51,51,0.327
29,159,657,592,88,160,40,27,108,127,44,0.27
28,159,704,655,85,185,26,3,45,94,38,0.282
24,110,379,334,30,82,13,2,34,70,31,0.246
20,72,275,251,23,59,9,6,24,72,18,0.235
30,125,479,440,57,105,15,12,47,91,32,0.239
26,69,261,233,30,72,13,3,24,43,17,0.309
22,153,605,573,60,153,38,14,84,100,21,0.267
33,123,324,282,33,74,13,9,46,40,27,0.262
28,81,238,212,18,40,12,0,14,33,15,0.189
34,90,201,185,9,32,8,0,14,39,10,0.173
27,73,197,180,21,45,11,6,24,44,9,0.25
25,56,193,172,27,44,11,9,26,45,18,0.256
30,99,346,308,34,73,8,13,34,67,28,0.237
30,138,500,435,65,108,29,15,79,84,58,0.248
30,137,594,526,94,156,37,31,128,110,48,0.297
26,122,453,413,54,110,27,9,49,62,31,0.266
27,145,622,534,93,157,27,9,59,83,79,0.294
33,156,697,552,120,167,44,37,122,92,130,0.303
33,97,436,367,65,108,19,1,26,53,59,0.294
34,135,490,417,63,121,13,4,49,63,65,0.29
33,111,366,329,39,94,8,12,62,61,34,0.286
30,109,339,316,44,90,14,2,30,47,16,0.285
27,121,327,286,41,92,21,3,36,39,34,0.322
30,94,317,275,26,75,15,3,32,47,37,0.273
26,102,376,346,31,75,13,12,35,99,29,0.217
30,139,564,507,59,150,20,23,87,93,47,0.296
31,117,513,452,78,129,24,8,43,32,45,0.285
30,67,267,237,30,62,9,3,29,35,17,0.262
19,77,214,195,18,42,9,7,22,37,14,0.215
27,102,257,237,34,56,12,12,34,60,17,0.236
27,148,617,580,85,162,26,30,90,112,30,0.279
29,90,383,301,52,95,16,16,57,30,69,0.316
23,105,271,240,33,58,11,2,17,57,27,0.242
35,72,271,236,28,56,6,7,30,37,29,0.237
26,89,246,220,25,43,7,2,14,37,15,0.195
34,94,235,208,29,62,9,7,18,46,18,0.298
28,51,206,193,11,51,6,2,21,23,5,0.264
23,64,190,180,21,51,4,0,7,33,4,0.283
25,55,187,175,23,47,6,3,20,42,9,0.269
31,129,417,390,34,102,15,9,52,54,16,0.262
36,131,494,439,58,131,30,12,80,44,51,0.298
27,138,612,517,79,138,24,6,45,78,84,0.267
27,145,516,449,55,120,32,4,39,87,51,0.267
35,131,536,452,87,114,29,29,82,108,71,0.252
32,158,661,573,112,156,28,50,119,121,79,0.272
33,159,674,619,92,154,40,14,67,103,45,0.249
38,127,505,461,65,148,35,16,69,18,35,0.321
